import_id,medikation_id,medication_resource_id,code_text,code_coding_version_atc_bfarm,code_coding_code_atc_bfarm,code_coding_display_atc_bfarm,code_coding_code_pzn,code_coding_display_pzn,ingredient_item_text_1,ingredient_item_coding_code_cas_1,ingredient_item_coding_display_cas_1,ingredient_item_coding_code_ask_1,ingredient_strength_numerator_value_1,ingredient_strength_numerator_code_1,ingredient_strength_numerator_unit_1,ingredient_strength_denominator_value_1,ingredient_strength_denominator_code_1,ingredient_strength_denominator_unit_1,ingredient_item_text_2,ingredient_item_coding_code_cas_2,ingredient_item_coding_display_cas_2,ingredient_item_coding_code_ask_2,ingredient_strength_numerator_value_2,ingredient_strength_numerator_code_2,ingredient_strength_numerator_unit_2,ingredient_strength_denominator_value_2,ingredient_strength_denominator_code_2,ingredient_strength_denominator_unit_2,ingredient_item_text_3,ingredient_item_coding_code_cas_3,ingredient_item_coding_display_cas_3,ingredient_item_coding_code_ask_3,ingredient_strength_numerator_value_3,ingredient_strength_numerator_code_3,ingredient_strength_numerator_unit_3,ingredient_strength_denominator_value_3,ingredient_strength_denominator_code_3,ingredient_strength_denominator_unit_3,cas_quelle_1,cas_quelle_2,cas_quelle_3,original_wirkstoff_1,original_wirkstoff_2,original_wirkstoff_3,comment
7889,fam_ab3077060011,b00d49e79c3778e42aefb13513275901,"Harnstoff und Macrogol-6,5-laurylether  50 mg/g + 30 mg/g",2026,D02AE51,"Harnstoff, Kombinationen",,,Harnstoff,57-13-6,Harnstoff,2218,50.0,mg,milligramm,1.0,g,gramm,"Macrogol-6,5-laurylether",9002-92-0,Macrogollaurylether (Ph.Eur.) ((mit Angabe der durchschnittlichen Anzahl an Oxyethylen-Einheiten zwischen 3 und 23)),9632,30.0,mg,milligramm,1.0,g,gramm,,,,,,,,,,,BfArM BEZVO ASK #02218,BfArM BEZVO ASK #09632,,Harnstoff,Macrogol-6,,"Restored the truncated Macrogol-6,5-laurylether name."
8630,user0B08B02AA8,09076c06f5874336b209b0117051fe04,"Harnstoff und Macrogol-6,5-laurylether  50 mg/g + 30 mg/g",2026,D02AE51,"Harnstoff, Kombinationen",04467700,,Harnstoff,57-13-6,Harnstoff,2218,50.0,mg,milligramm,1.0,g,gramm,"Macrogol-6,5-laurylether",9002-92-0,Macrogollaurylether (Ph.Eur.) ((mit Angabe der durchschnittlichen Anzahl an Oxyethylen-Einheiten zwischen 3 und 23)),9632,30.0,mg,milligramm,1.0,g,gramm,,,,,,,,,,,BfArM BEZVO ASK #02218,BfArM BEZVO ASK #09632,,Harnstoff,Macrogol-6,,"Restored the truncated Macrogol-6,5-laurylether name."
8812,user0B09208054,699b2aaf683843ae4d7ad18b5717dfb6,"Harnstoff und Macrogol-6,5-laurylether  50 mg/g + 30 mg/g",2026,D02AE51,"Harnstoff, Kombinationen",,,Harnstoff,57-13-6,Harnstoff,2218,50.0,mg,milligramm,1.0,g,gramm,"Macrogol-6,5-laurylether",9002-92-0,Macrogollaurylether (Ph.Eur.) ((mit Angabe der durchschnittlichen Anzahl an Oxyethylen-Einheiten zwischen 3 und 23)),9632,30.0,mg,milligramm,1.0,g,gramm,,,,,,,,,,,BfArM BEZVO ASK #02218,BfArM BEZVO ASK #09632,,Harnstoff,Macrogol-6,,"Restored the truncated Macrogol-6,5-laurylether name."
8319,ab6922143,76228bd5ed5e71240437c9b6efce9556,"Insulin, normal (human) und Insulin-Isophan (human)  90 I.E./3 ml + 210 I.E./3 ml",2026,A10AD01,Insulin (human),06922143,,"Insulin, normal (human)",11061-68-0,Insulin human ((mit Angaben zur Herstellung)),22265,90.0,[IU],international unit,3.0,mL,milliliter,Insulin-Isophan (human),53027-39-7,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),11940,210.0,[IU],international unit,3.0,mL,milliliter,,,,,,,,,,,BfArM BEZVO ASK #22265,BfArM BEZVO ASK #11940,,Insulin,normal (human),,"Corrected split at the comma in 'Insulin, normal (human)'."
8320,ab6922166,7006a30cc099f1f21f130d307c655c78,"Insulin, normal (human) und Insulin-Isophan (human)  90 I.E./3 ml + 210 I.E./3 ml",2026,A10AD01,Insulin (human),,,"Insulin, normal (human)",11061-68-0,Insulin human ((mit Angaben zur Herstellung)),22265,90.0,[IU],international unit,3.0,mL,milliliter,Insulin-Isophan (human),53027-39-7,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),11940,210.0,[IU],international unit,3.0,mL,milliliter,,,,,,,,,,,BfArM BEZVO ASK #22265,BfArM BEZVO ASK #11940,,Insulin,normal (human),,"Corrected split at the comma in 'Insulin, normal (human)'."
8424,user0B0920824E,c5119c39295fecca75bc0e8e36cfb9dc,"Insulin, normal (human) und Insulin-Isophan (human)  90 I.E./3 ml + 210 I.E./3 ml",2026,A10AD01,Insulin (human),,,"Insulin, normal (human)",11061-68-0,Insulin human ((mit Angaben zur Herstellung)),22265,90.0,[IU],international unit,3.0,mL,milliliter,Insulin-Isophan (human),53027-39-7,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),11940,210.0,[IU],international unit,3.0,mL,milliliter,,,,,,,,,,,BfArM BEZVO ASK #22265,BfArM BEZVO ASK #11940,,Insulin,normal (human),,"Corrected split at the comma in 'Insulin, normal (human)'."
8517,fam_ab3345223100,021804594dae9b50c51ba864ec387fcf,"Insulin, normal (human) und Insulin-Isophan (human)  90 I.E./3 ml + 210 I.E./3 ml",2026,A10AD01,Insulin (human),,,"Insulin, normal (human)",11061-68-0,Insulin human ((mit Angaben zur Herstellung)),22265,90.0,[IU],international unit,3.0,mL,milliliter,Insulin-Isophan (human),53027-39-7,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),11940,210.0,[IU],international unit,3.0,mL,milliliter,,,,,,,,,,,BfArM BEZVO ASK #22265,BfArM BEZVO ASK #11940,,Insulin,normal (human),,"Corrected split at the comma in 'Insulin, normal (human)'."
9048,user0B08B02CA2,601c08e4b5531fed44dc21a5c4999914,"Insulin, normal (human) und Insulin-Isophan (human)  90 I.E./3 ml + 210 I.E./3 ml",2026,A10AD01,Insulin (human),06922166,,"Insulin, normal (human)",11061-68-0,Insulin human ((mit Angaben zur Herstellung)),22265,90.0,[IU],international unit,3.0,mL,milliliter,Insulin-Isophan (human),53027-39-7,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),11940,210.0,[IU],international unit,3.0,mL,milliliter,,,,,,,,,,,BfArM BEZVO ASK #22265,BfArM BEZVO ASK #11940,,Insulin,normal (human),,"Corrected split at the comma in 'Insulin, normal (human)'."
9048,user0B08B02CA2,60e5785679346d3f20adb41f61c0f744,"Insulin, normal (human) und Insulin-Isophan (human)  90 I.E./3 ml + 210 I.E./3 ml",2026,A10AD01,Insulin (human),06922143,,"Insulin, normal (human)",11061-68-0,Insulin human ((mit Angaben zur Herstellung)),22265,90.0,[IU],international unit,3.0,mL,milliliter,Insulin-Isophan (human),53027-39-7,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),11940,210.0,[IU],international unit,3.0,mL,milliliter,,,,,,,,,,,BfArM BEZVO ASK #22265,BfArM BEZVO ASK #11940,,Insulin,normal (human),,"Corrected split at the comma in 'Insulin, normal (human)'."
2619,ab4569197,f1c27b3591417d5762022ba3d512d3b5,"Rosmarinblätter-Extrakt, Liebstöckelwurzel-Extrakt und Tausendgüldenkraut-Extrakt",2026,G04BP50,"Andere pflanzliche Urologika, Kombinationen",,,Rosmarinblätter-Extrakt,84604-14-8,Rosmarinus officinalis (Rosemary) leaf extract,,,,,,,,Liebstöckelwurzel-Extrakt,84837-06-9,Levisticum officinale root extract,,,,,,,,Tausendgüldenkraut-Extrakt,84837-00-3,Centaurium erythraea extract,,,,,,,,"FDA GSRS, UNII IJ67X351P9",EU CosIng,FDA GSRS / EU CosIng,"Rosmarinblätter-Extrakt, Liebstöckelwurzel-Extrakt und Tausendgüldenkraut-Extrakt",,,Split corrected; CAS codes added from external regulatory sources. ASK mappings remain unresolved.
