ingredient_item_text,ingredient_positions,atc_code,atc_display,ingredient_coding_code_cas,ingredient_coding_display_cas,ingredient_coding_code_ask,found_ask_id,found_cas_code,found_cas_display,cas_quelle,action,comment,dirty_type,corrected_ingredient_text,corrected_ingredient_positions,additional_ask_id,additional_cas_code,additional_cas_display
Zinkbis(hydrogen-DL-aspartat),1,A12CB05,Zinkhydrogenaspartat,,,,5630,15281-32-0,Zinkbis(hydrogen-ᴅʟ-aspartat),https://pubchem.ncbi.nlm.nih.gov/compound/131953541,add_missing_cas_code,,,,,,,
Zinkbis(hydrogen-DL-aspartat),1,B05XA26,Zinkhydrogenaspartat,,,,5630,15281-32-0,Zinkbis(hydrogen-ᴅʟ-aspartat),https://pubchem.ncbi.nlm.nih.gov/compound/131953541,add_missing_cas_code,,,,,,,
Zinksulfat-7-Wasser,1,D06BB00,,,,,364,7446-20-0,Zinksulfat-Heptahydrat,BEZVO CSV,add_name_mapping,,,,,,,
Zolpidem hemitartrat,1,N05CF02,Zolpidem,,,,22790,99294-93-6,Zolpidemtartrat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
[177Lu]Lutetium vipivotid tetraxetan,1,V10XX05,(177Lu)Lutetiumvipivotidtetraxetan,,,,46023,1703749-62-5,(177Lu)Lutetiumvipivotidtetraxetan,BEZVO CSV,add_name_mapping,,,,,,,
normal (human),2,A10AD01,Insulin (human),,,,,,,,wrong_split_dwh,"DWH incorrectly split ""Insulin, normal (human)"" into separate ingredient fields.",,,,,,
"rac-(2R)-2,3-Bis(sulfanyl)propan-1-sulfonsäure, Natriumsalz",1,V03AB43,DMPS,,,,16542,4076-02-2,"rac-(2R)-2,3-Bis(sulfanyl)propan-1-sulfonsäure-Natriumsalz",BEZVO CSV,add_name_mapping,,,,,,,
ß-Acetyldigoxin,1,C01AA02,Acetyldigoxin,,,,2074,5355-48-6,β-Acetyldigoxin,BEZVO CSV,add_name_mapping,,,,,,,
Formoterol hemifumarat-1-Wasser,1,R03AL11,"Formoterol, Glycopyrroniumbromid und Budesonid",,,,23761,183814-30-4,Formoterolfumarat-Dihydrat (Ph.Eur.),BEZVO CSV,add_name_mapping,DWH name is a naming variant of formoterol fumarate dihydrate.,,,,,,
Glycopyrronium-Kation,2,R03AL11,"Formoterol, Glycopyrroniumbromid und Budesonid",,,,36604,13283-82-4,Glycopyrronium,BEZVO CSV,add_name_mapping,,,,,,,
Octenidin dihydrochlorid,1,A01AB24,Octenidin,,,,23152,70775-75-6,Octenidindihydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
"Erythrozyten, UNbestrahlt ITIB",1,B05AX41,Erythrozyten ohne Pharmazentralnummer,,,,21444,,Human-Erythrozyten,BEZVO CSV,add_name_mapping,DWH term refers to human erythrocytes; no specific CAS applies.,,,,,,
J01XX01,1,J01XX01,Fosfomycin,,,,18854,26016-99-9,Fosfomycin-Natrium (Ph.Eur.),BEZVO CSV,dirty_ingredient_text,ATC code is stored in the ingredient field; INFECTOFOS 5g contains Fosfomycin-Natrium.,code_in_ingredient_field,Fosfomycin-Natrium,1,,,
