ingredient_item_text,ingredient_positions,atc_code,atc_display,ingredient_coding_code_cas,ingredient_coding_display_cas,ingredient_coding_code_ask,found_ask_id,found_cas_code,found_cas_display,cas_quelle,action,comment,dirty_type,corrected_ingredient_text,corrected_ingredient_positions,additional_ask_id,additional_cas_code,additional_cas_display
Levomethadon hydrochlorid,1,N02AC06,Levomethadon,,,,7540,5967-73-7,Levomethadonhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Levomethadon hydrochlorid,1,N07BC05,Levomethadon,,,,7540,5967-73-7,Levomethadonhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Lidocain hydrochlorid-1-Wasser,1,A01AE51,"Lidocain, Kombinationen",,,,1693,6108-05-0,Lidocainhydrochlorid-Monohydrat,BEZVO CSV,add_name_mapping,,,,,,,
Lidocain hydrochlorid-1-Wasser,1,C01BB01,Lidocain,,,,1693,6108-05-0,Lidocainhydrochlorid-Monohydrat,BEZVO CSV,add_name_mapping,,,,,,,
Lidocain hydrochlorid-1-Wasser,1,N01BB02,Lidocain,,,,1693,6108-05-0,Lidocainhydrochlorid-Monohydrat,BEZVO CSV,add_name_mapping,,,,,,,
Lidocain hydrochlorid-1-Wasser,1,N01BB52,"Lidocain, Kombinationen",,,,1693,6108-05-0,Lidocainhydrochlorid-Monohydrat,BEZVO CSV,add_name_mapping,,,,,,,
Lidocain hydrochlorid-1-Wasser,1,R02AA20,Verschiedene,,,,1693,6108-05-0,Lidocainhydrochlorid-Monohydrat,BEZVO CSV,add_name_mapping,,,,,,,
Lisdexamfetamin dimesilat,1,N06BA12,Lisdexamfetamin,,,,37246,608137-33-3,Lisdexamfetamindimesilat,BEZVO CSV,add_name_mapping,,,,,,,
Loperamid hydrochlorid,1,A07DA03,Loperamid,,,,11844,34552-83-5,Loperamidhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Macrogol 3350,1,A06AD65,"Macrogol, Kombinationen",,Macrogol 3350,51317,51317,25322-68-3,Macrogol 3350,BEZVO CSV,add_missing_cas_code,,,,,,,
Macrogol 4000,1,A06AD15,Macrogol,,Macrogol 4000,51320,51320,25322-68-3,Macrogol 4000,BEZVO CSV,add_missing_cas_code,CAS is available in BEZVO but missing in DGH.,,,,,,
Macrogol-6,2,D02AE51,"Harnstoff, Kombinationen",,,,,,,,wrong_split_dwh,DWH name is truncated from Macrogol-6.5-lauryl ether; PEG 6 would be a false match.,,,,,,
Macrogol-9-laurylether,1,C05BB02,Polidocanol (Lauromacrogol 400),,,,39034,3055-99-0,"Lauromacrogol 400 (Ph.Eur.) ((Bezeichnung nur zulässig, wenn der Stoff arzneilich wirksamer Bestandteil ist))",BEZVO CSV,add_name_mapping,,,,,,,
Macrogol-9-laurylether,1,D04AB11,Polidocanol (Lauromacrogol 400),,,,39034,3055-99-0,"Lauromacrogol 400 (Ph.Eur.) ((Bezeichnung nur zulässig, wenn der Stoff arzneilich wirksamer Bestandteil ist))",BEZVO CSV,add_name_mapping,,,,,,,
Magnesium-Ion,1,A12CC05,Magnesiumaspartat,,,,1309,22537-22-0,Magnesium-Ion,BEZVO CSV,check_mapping_or_join,Exact normalized DWH name already exists under the correct ASK.,,,,,,
Magnesium-Ion,1,A12CC11,Magnesiumcarbonat,,,,1309,22537-22-0,Magnesium-Ion,BEZVO CSV,check_mapping_or_join,,,,,,,
Magnesium-Ion,1,A12CC30,Magnesium (verschiedene Salze in Kombination),,,,1309,22537-22-0,Magnesium-Ion,BEZVO CSV,check_mapping_or_join,,,,,,,
Magnesium-Ion,"1, 2",B05XA05,Magnesiumsulfat,,,,1309,22537-22-0,Magnesium-Ion,BEZVO CSV,check_mapping_or_join,,,,,,,
Melperon hydrochlorid,1,N05AD03,Melperon,,,,11063,1622-79-3,Melperonhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Memantin hydrochlorid,1,N06DX01,Memantin,,,,16705,41100-52-1,Memantinhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
"Meningokokken-B-Impfstoff, rekombiniert, monovalent",1,J07AH09,"Meningokokken B, Multikomponenten-Impfstoff",,,,,,,,not_mappable_general_category,Multicomponent meningococcal B vaccine; no single substance CAS applies.,,,,,,
"Meningokokken-Polysaccharid-T-Konjugat-Impfstoff, tetravalent (A, C, W135, Y)",1,J07AH08,"Meningokokken tetravalent (A, C, Y, W-135), gereinigtes Polysaccharid-Antigen, konjugiert",,,,,,,,not_mappable_general_category,Tetravalent conjugate vaccine containing four serogroup polysaccharide antigens; no single substance CAS applies.,,,,,,
Mepivacain hydrochlorid,1,N01BB03,Mepivacain,,,,5638,16452-56-5,Mepivacainhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Mercaptopurin-1-Wasser,1,L01BB02,Mercaptopurin,,,,21855,6112-76-1,Mercaptopurin-Monohydrat,BEZVO CSV,add_name_mapping,,,,,,,
Metamizol natrium-1-Wasser,1,N02BB02,Metamizol-Natrium,,,,258,5907-38-0,Metamizol-Natrium-Monohydrat,BEZVO CSV,add_name_mapping,,,,,,,
