"atc_code","atc_display","dwh_wirkstoff","found_ask","cas_display","cas_name_source","action_import","comment"
"A10AD05","Insulin aspart","Insulin aspart-Isophan","24022","Insulin aspart","BfArM BEZVO","add_cas_name",""
"A10AD04","Insulin lispro","Insulin lispro-Isophan","26888","Insulin lispro","BfArM BEZVO","add_cas_name",""
"A10AC01","Insulin (human)","Insulin-Isophan (human)","11940","Isophan-Insulin-Suspension zur Injektion (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"A10AB01","Insulin (human)","Insulin, normal (human)","22265","Insulin human ((mit Angaben zur Herstellung))","BfArM BEZVO","add_cas_name",""
"H03AA51|H03CA01","Levothyroxin-Natrium und Iod-Verbindungen|Iodide","Iodid-Ion","1329","Iodid","BfArM BEZVO","add_cas_name",""
"R03AL01","Fenoterol und Ipratropiumbromid","Ipratropium bromid-1-Wasser","19720","Ipratropiumbromid (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"C01CA02","Isoprenalin","Isoprenalin hydrochlorid","7442","Isoprenalinhydrochlorid","BfArM BEZVO","add_cas_name",""
"C01DA08","Isosorbiddinitrat","Isosorbid dinitrat","5595","Isosorbiddinitrat","BfArM BEZVO","add_cas_name",""
"C01DA14","Isosorbidmononitrat","Isosorbid mononitrat","21993","Isosorbidmononitrat","BfArM BEZVO","add_cas_name",""
"C03DA02","Kaliumcanrenoat","Kalium canrenoat","7205","Kaliumcanrenoat","BfArM BEZVO","add_cas_name",""
"S01AA24","Kanamycin","Kanamycin sulfat-1-Wasser","2231","Kanamycinmonosulfat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"J01GB03","Gentamicin","Kollagen vom Pferd","18245","Kollagen ((mit Angaben zur Herkunft))","BfArM BEZVO","add_cas_name",""
"V03AE03","Lanthan(III)-carbonat","Lanthan(III)-Ion","34213","Lanthan(Ⅲ)-carbonat-Hydrat ((mit Angaben zum Wasser-Gehalt (1:x)))","BfArM BEZVO","add_cas_name",""
"C08CA13","Lercanidipin","Lercanidipin hydrochlorid","24911","Lercanidipinhydrochlorid","BfArM BEZVO","add_cas_name",""
"R06AE09","Levocetirizin","Levocetirizin dihydrochlorid","31082","Levocetirizindihydrochlorid","BfArM BEZVO","add_cas_name",""
"N02AC06|N07BC05","Levomethadon|Levomethadon","Levomethadon hydrochlorid","7540","Levomethadonhydrochlorid","BfArM BEZVO","add_cas_name",""
"A01AE51|C01BB01|N01BB02|N01BB52|R02AA20","Lidocain, Kombinationen|Lidocain|Lidocain|Lidocain, Kombinationen|Verschiedene","Lidocain hydrochlorid-1-Wasser","1693","Lidocainhydrochlorid-Monohydrat","BfArM BEZVO","add_cas_name",""
"N06BA12","Lisdexamfetamin","Lisdexamfetamin dimesilat","37246","Lisdexamfetamindimesilat","BfArM BEZVO","add_cas_name",""
"A07DA03","Loperamid","Loperamid hydrochlorid","11844","Loperamidhydrochlorid","BfArM BEZVO","add_cas_name",""
"C05BB02|D04AB11","Polidocanol (Lauromacrogol 400)|Polidocanol (Lauromacrogol 400)","Macrogol-9-laurylether","39034","Lauromacrogol 400 (Ph.Eur.) ((Bezeichnung nur zulässig, wenn der Stoff arzneilich wirksamer Bestandteil ist))","BfArM BEZVO","add_cas_name",""
"N05AD03","Melperon","Melperon hydrochlorid","11063","Melperonhydrochlorid","BfArM BEZVO","add_cas_name",""
"N06DX01","Memantin","Memantin hydrochlorid","16705","Memantinhydrochlorid","BfArM BEZVO","add_cas_name",""
"N01BB03","Mepivacain","Mepivacain hydrochlorid","5638","Mepivacainhydrochlorid","BfArM BEZVO","add_cas_name",""
"L01BB02","Mercaptopurin","Mercaptopurin-1-Wasser","21855","Mercaptopurin-Monohydrat","BfArM BEZVO","add_cas_name",""
