atc_code,atc_display,dwh_wirkstoff,found_ask,cas_display,cas_name_source,action_import,comment
N02AA01,Morphin,Morphin hydrochlorid-3-Wasser,204,Morphinhydrochlorid (Ph.Eur.),BEZVO CSV,add_cas_name,
N02AA01,Morphin,Morphin sulfat,7651,"Morphinhemisulfat-2,5-Hydrat",BEZVO CSV,add_cas_name,
L04AA06,Mycophenolsaeure,Mycophenolat mofetil,26196,Mycophenolatmofetil (Ph.Eur.),BEZVO CSV,add_cas_name,
N02AF02,Nalbufin,Nalbuphin hydrochlorid,18999,Nalbuphinhydrochlorid,BEZVO CSV,add_cas_name,
N02AA55|N02AX51|V03AB15,Oxycodon und Naloxon|Tilidin und Naloxon|Naloxon,Naloxon hydrochlorid,12393,Naloxonhydrochlorid,BEZVO CSV,add_cas_name,
A06AB08,Natriumpicosulfat,Natrium picosulfat,5974,Natriumpicosulfat,BEZVO CSV,add_cas_name,
A06AB08,Natriumpicosulfat,Natrium picosulfat-1-Wasser,6240,Natriumpicosulfat (Ph.Eur.),BEZVO CSV,add_cas_name,
V03AE10,Natrium-Zirconiumcyclosilicat,Natrium-Zirconium(IV)-cyclosilicat,43087,Natriumzirconiumhydrogencyclohexasilicat-Hydrat (3:2:1:1:x),BEZVO CSV,add_cas_name,
V07AC,,Natriumcitrat-2-Wasser,212,Natriumcitrat (Ph.Eur.),BEZVO CSV,add_cas_name,
A06AD13,Natriumsulfat,Natriumsulfat-10-Wasser,12721,Natriumsulfat-Decahydrat,BEZVO CSV,add_cas_name,
S01CA55|S03AA23,"Dexamethason, Neomycin und Polymyxin B|Polymyxin B, Neomycin und Gramicidin",Neomycin sulfat,1097,Neomycinsulfat,BEZVO CSV,add_cas_name,
N07AA01,Neostigmin,Neostigmin metilsulfat,113,Neostigminmetilsulfat,BEZVO CSV,add_cas_name,
C02DD01,Nitroprussid,Nitroprussidnatrium-2-Wasser,11544,Nitroprussidnatrium (Ph.Eur.),BEZVO CSV,add_cas_name,
V03AB13,Obidoxim,Obidoxim chlorid,7083,Obidoximchlorid,BEZVO CSV,add_cas_name,
D08AJ57|A01AB24,"Octenidin, Kombinationen|Octenidin",Octenidin dihydrochlorid,23152,Octenidindihydrochlorid,BEZVO CSV,add_cas_name,
C09CA08|C09DB02,Olmesartanmedoxomil|Olmesartanmedoxomil und Amlodipin,Olmesartan medoxomil,27955,Olmesartanmedoxomil,BEZVO CSV,add_cas_name,
N06AA05,Opipramol,Opipramol dihydrochlorid,7764,Opipramoldihydrochlorid,BEZVO CSV,add_cas_name,
A05BA17,Ornithinaspartat,Ornithin aspartat,1890,Ornithinaspartat,BEZVO CSV,add_cas_name,
S01HA02|S01JA51,"Oxybuprocain|Fluorescein, Kombinationen",Oxybuprocain hydrochlorid,5370,Oxybuprocainhydrochlorid,BEZVO CSV,add_cas_name,
G04BD04,Oxybutynin,Oxybutynin hydrochlorid,22831,Oxybutyninhydrochlorid,BEZVO CSV,add_cas_name,
N02AA05|N02AA55,Oxycodon|Oxycodon und Naloxon,Oxycodon hydrochlorid,41951,Oxycodonhydrochlorid,BEZVO CSV,add_cas_name,
R01AA05,Oxymetazolin,Oxymetazolin hydrochlorid,4875,Oxymetazolinhydrochlorid,BEZVO CSV,add_cas_name,
S01AA04|S01CA53,Oxytetracyclin|Prednisolon und Oxytetracyclin,Oxytetracyclin hydrochlorid,2917,Oxytetracyclinhydrochlorid,BEZVO CSV,add_cas_name,
M03AC01,Pancuronium,Pancuronium bromid,5222,Pancuroniumbromid,BEZVO CSV,add_cas_name,
N05CP30,Kombinationen,Passionsblumen-Trockenextrakt,1857,Passionsblumenkrauttrockenextrakt ' ((Ethanol/Ethanol-Wasser)),BEZVO CSV,add_cas_name,Product contains ethanol-extracted passionflower dry extract; no preparation-specific CAS confirmed.
V04CX09,Patentblau V,"Patentblau V, Natriumsalz",34186,Patentblau-Ⅴ-Natriumsalz,BEZVO CSV,add_cas_name,
C01DA05,Pentaerythrityltetranitrat,Pentaerythrityltetranitrat,1848,Pentaerithrityltetranitrat,BEZVO CSV,add_cas_name,
P01CX01,Pentamidindiisetionat,Pentamidin diisetionat,13721,Pentamidindiisetionat,BEZVO CSV,add_cas_name,
V03AB47,Pentetsaeure,"Pentetsäure, Calcium-Trinatriumsalz",3859,Calcium-trinatrium-pentetat ((gegebenenfalls mit Angaben zum Wassergehalt)),BEZVO CSV,add_cas_name,
